CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
53033003900,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033005801,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033990100,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032326,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032327,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033025602,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033029101,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033031605,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033007700,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033007600,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033007800,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033004600,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033005000,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033005700,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032328,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033006400,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033006100,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033006200,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033006300,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032320,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033030700,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032402,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033029306,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033024901,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033031800,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033029602,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033024800,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033025803,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033003000,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033021100,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033031904,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033024200,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033026600,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032207,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033031204,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022702,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033031601,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033011102,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033032316,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033002700,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022300,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022603,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022604,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022605,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022606,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033022701,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033011101,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033023100,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033023201,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033023300,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033012000,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033023401,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033011300,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
53033012100,WA,Low or No Emission (Bus) Grants,Inland Flood Risk Management Projects,Congestion Mitigation and Air Quality Improvement Program,"All Stations Accessibility Program, Urbanized Area Passenger Ferry Program",497176.9889,Low or No Emission - Central Puget Sound Regional Transit Authority; Howard Hanson Dam; Adaptive Traffic Signal Control - City Center - Ph. 2; South King County Tdm; Seattle Center Monorail Station Upgrades; Ferry Service Funding - WA State Dept. of Transportation,"DS_ET, FLD_ET, N_CLT, TP_ET, N_TRN","Clean Transportation, Climate Change",
